City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Hong Gai,VN,20.96,107.09,1549144800,75,94,68.0,2.24
Swanton,US,41.59,-83.89,1549145700,90,100,41.9,11.41
Minot,US,48.23,-101.3,1549144560,1,72,15.98,9.17
Tomatlan,MX,19.93,-105.25,1549146605,0,56,76.71,2.95
The Pas,CA,53.82,-101.24,1549145880,90,69,-13.01,9.17
Ambon,FR,47.55,-2.56,1549144800,20,76,37.4,12.75
Ahuimanu,US,21.44,-157.84,1549144620,75,84,78.08,13.87
Mogadouro,PT,41.34,-6.71,1549146608,0,94,30.4,4.29
Vila Franca do Campo,PT,37.72,-25.43,1549143000,75,77,60.8,9.17
Dogondoutchi,NE,13.64,4.03,1549146609,0,42,65.64,5.19
Baykit,RU,61.68,96.39,1549146609,0,0,-49.39,2.62
Warstein,DE,51.45,8.35,1549144200,88,98,32.0,2.24
Maningrida,AU,-12.05,134.23,1549146174,48,83,83.26,27.85
Kelvington,CA,52.16,-103.52,1549146611,88,79,-5.42,7.65
Alice Springs,AU,-23.7,133.88,1549144800,40,61,78.8,9.17
Natal,BR,-5.81,-35.21,1549144800,20,74,82.4,11.41
Sovetskiy,RU,56.76,48.47,1549146612,92,88,14.88,3.06
Touros,BR,-5.2,-35.46,1549144800,20,78,82.4,9.17
Tagusao,PH,9.19,117.81,1549146613,44,96,76.48,5.97
Bayangol,MN,48.91,106.09,1549146614,0,35,-25.67,4.52
Kalengwa,ZM,-13.47,25.0,1549146614,12,93,59.83,3.06
Aquin,HT,18.28,-73.39,1549146615,36,100,77.97,9.66
Honiara,SB,-9.43,159.96,1549146205,24,100,76.24,2.91
Coffs Harbour,AU,-30.3,153.13,1549144800,40,78,80.6,5.82
Juneau,US,58.3,-134.42,1549144560,20,28,15.98,16.11
Cabedelo,BR,-6.97,-34.84,1549144800,0,78,80.6,9.17
Kumba,CM,4.64,9.44,1549146617,36,99,68.29,3.06
Wollongong,AU,-34.42,150.89,1549144800,20,69,78.8,11.41
Corn Island,NI,12.17,-83.04,1549146618,0,99,80.22,11.68
Chibuto,MZ,-24.69,33.53,1549146619,64,94,72.93,4.29
Neiafu,TO,-18.65,-173.98,1549144800,75,78,82.4,4.7
Meadow Lake,CA,54.13,-108.44,1549144800,90,69,-11.21,12.75
Looc,PH,10.32,123.95,1549144800,75,83,71.6,3.36
Ouesso,CG,1.61,16.05,1549146622,80,87,77.61,2.17
Chernyshevskiy,RU,63.01,112.47,1549146622,68,76,-38.05,6.76
Yuanping,CN,38.72,112.71,1549146623,36,37,12.63,4.85
Pangnirtung,CA,66.15,-65.72,1549144800,20,46,10.4,4.41
Nioki,CD,-2.72,17.69,1549146624,12,92,76.89,1.05
Hofn,IS,64.25,-15.21,1549146439,0,100,24.31,4.14
Viedma,AR,-40.81,-62.99,1549146628,0,48,61.23,6.98
Maragogi,BR,-9.01,-35.22,1549146625,88,97,75.85,6.08
Tabas,IR,33.6,56.92,1549144800,88,28,59.0,2.24
Am Timan,TD,11.04,20.28,1549146629,0,40,71.53,6.98
Mount Gambier,AU,-37.83,140.78,1549144800,0,40,71.6,5.82
Boende,CD,-0.28,20.88,1549146631,68,86,74.95,2.17
Arvika,SE,59.65,12.59,1549144200,92,92,24.8,12.75
Airai,TL,-8.93,125.41,1549146632,44,78,76.53,1.95
Lavrentiya,RU,65.58,-170.99,1549146633,92,95,33.1,33.82
Bulawayo,ZW,-20.16,28.59,1549146633,0,69,66.49,10.45
General Roca,AR,-39.03,-67.58,1549144800,0,23,82.4,13.87
Hampton,US,42.74,-93.2,1549145700,90,93,41.0,10.29
Mildura,AU,-34.18,142.16,1549144800,0,30,86.0,3.36
Bubaque,GW,11.28,-15.83,1549146636,0,100,76.66,12.01
Bontang,ID,0.12,117.47,1549146636,56,100,79.32,7.43
Deputatskiy,RU,69.3,139.9,1549146637,0,0,-47.18,2.73
Shushtar,IR,32.05,48.86,1549146637,12,80,44.13,1.39
Maltahohe,NA,-24.83,16.98,1549146590,0,22,69.58,8.39
Meulaboh,ID,4.14,96.13,1549146638,44,100,78.28,4.63
Amapa,HN,15.09,-87.97,1549144800,20,66,84.2,19.46
Shevchenkove,UA,49.7,37.18,1549144800,90,99,32.0,6.71
Alakurtti,RU,66.96,30.34,1549146640,8,64,-14.33,2.39
Oranjestad,AW,12.52,-70.03,1549141200,40,70,84.2,18.34
Smithers,CA,54.78,-127.17,1549144800,40,49,-0.41,10.29
Longkou,CN,37.64,120.47,1549146642,32,94,37.11,17.72
Florianopolis,BR,-27.6,-48.55,1549144800,75,83,77.0,8.05
Sterlibashevo,RU,53.44,55.26,1549146643,32,71,1.06,2.84
Karratha,AU,-20.74,116.85,1549146644,0,21,93.94,11.01
Magnolia,US,33.27,-93.24,1549144500,75,67,65.3,5.82
Parfino,RU,57.97,31.65,1549146645,88,93,32.34,10.45
Huntington,US,40.87,-73.43,1549144560,20,58,33.98,11.41
Beringovskiy,RU,63.05,179.32,1549146647,80,92,31.3,34.38
Tabuk,PH,17.41,121.44,1549146647,76,94,64.38,0.49
Christchurch,NZ,-43.53,172.64,1549144800,0,59,66.2,13.87
Mirnyy,RU,56.57,36.46,1549146648,92,94,24.51,8.43
Rio Tercero,AR,-32.17,-64.11,1549146632,8,68,67.17,5.64
Lasa,CY,34.92,32.53,1549144800,20,87,51.8,5.82
Sayyan,YE,15.17,44.32,1549146650,0,83,37.38,1.5
Bintulu,MY,3.17,113.03,1549144800,75,100,77.0,2.73
Ulaangom,MN,49.98,92.07,1549146271,20,34,-27.54,0.67
Shillong,IN,25.58,91.88,1549144800,20,87,59.0,2.73
Mitu,IR,36.2,46.09,1549146260,80,94,23.68,2.35
Saint-Francois,FR,46.42,3.91,1549144800,90,86,37.4,12.75
Rio de Jesus,PA,7.98,-81.16,1549146653,0,44,85.84,11.79
Casper,US,42.87,-106.31,1549144380,1,45,46.04,29.97
Saint-Leu,RE,-21.15,55.28,1549144800,0,73,75.2,6.93
Templin,DE,53.12,13.5,1549146000,90,96,33.8,9.17
Plymouth,GB,50.37,-4.14,1549146474,0,100,34.66,11.07
Mirabad,IR,28.27,61.33,1549146656,88,96,47.64,6.64
Uaua,BR,-9.84,-39.48,1549146657,76,61,81.03,10.0
Thinadhoo,MV,0.53,72.93,1549146657,88,99,83.23,14.25
Palu,ID,-0.9,119.87,1549146658,24,90,69.33,2.06
Saint Pete Beach,US,27.73,-82.74,1549145700,90,83,75.02,5.82
Shirokiy,RU,53.87,39.17,1549146659,88,95,23.38,6.53
Setermoen,NO,68.86,18.35,1549144200,68,56,12.2,17.22
Manakara,MG,-22.14,48.01,1549146660,88,98,75.99,0.38
Naranjal,PY,-25.97,-55.19,1549144800,90,100,71.6,13.87
Sanchursk,RU,56.94,47.25,1549146661,92,87,15.24,2.95
Skole,UA,49.04,23.51,1549146662,0,82,36.93,7.65
Kantunilkin,MX,21.1,-87.49,1549143780,75,74,80.6,10.29
Santa Maria,BR,-29.69,-53.81,1549141200,40,69,82.4,3.36
Warrington,GB,53.39,-2.59,1549144200,0,74,33.8,3.36
Peleduy,RU,59.63,112.75,1549146665,8,76,-38.18,4.74
Tripoli,GR,37.51,22.37,1549144200,56,93,46.4,4.7
Senekal,ZA,-28.32,27.62,1549146666,92,98,59.97,10.78
Alenquer,BR,-1.95,-54.74,1549144800,0,74,82.4,4.7
Awjilah,LY,29.14,21.3,1549146667,20,41,49.39,5.41
Sompeta,IN,18.93,84.6,1549146667,0,80,55.38,4.41
Ampanihy,MG,-24.69,44.75,1549146668,0,81,69.73,9.78
Constantine,DZ,36.36,6.61,1549144800,40,80,41.0,11.41
Nago,IT,45.88,10.89,1549144500,75,100,42.8,4.7
Matara,PE,-13.74,-72.9,1549146670,92,96,46.83,2.06
Inhambane,MZ,-23.87,35.38,1549146670,92,97,77.29,9.1
Ketchikan,US,55.34,-131.65,1549144380,40,36,19.94,11.41
Yen Bai,VN,21.7,104.87,1549146671,92,98,64.78,2.62
Baruun-Urt,MN,46.68,113.28,1549146672,24,68,-17.35,6.42
Sarangani,PH,5.4,125.46,1549146672,88,100,78.42,5.19
Calabozo,VE,8.92,-67.43,1549146608,0,35,84.63,9.44
Puerto Escondido,MX,15.86,-97.07,1549143600,5,58,86.0,9.17
Dossor,KZ,47.52,52.98,1549146674,76,87,18.21,7.09
Dubbo,AU,-32.25,148.6,1549145880,0,54,80.6,11.41
Capitan Bado,PY,-23.27,-55.53,1549146675,32,76,81.25,4.74
Marsh Harbour,BS,26.54,-77.06,1549146675,92,100,69.87,21.63
Whitehorse,CA,60.72,-135.06,1549144800,5,61,-20.21,3.36
Half Moon Bay,US,37.46,-122.43,1549144800,40,76,60.08,24.16
Mackay,CA,53.65,-115.58,1549145820,75,57,-9.41,12.75
Mweka,CD,-4.85,21.56,1549146677,48,93,73.51,3.18
Dingle,PH,11.0,122.67,1549146678,44,81,74.86,13.8
Villaviciosa,ES,43.48,-5.43,1549144800,40,93,44.6,9.17
Alyangula,AU,-13.85,136.42,1549144800,40,79,84.2,9.17
La Paz,MX,24.15,-110.32,1549143720,40,64,71.6,18.34
San Carlos de Bariloche,AR,-41.13,-71.31,1549144800,0,28,80.6,19.46
Abalak,NE,15.46,6.28,1549146685,0,42,58.44,3.74
Anito,PH,12.45,125.29,1549146274,88,95,79.21,19.46
Rawson,AR,-43.3,-65.11,1549146685,0,34,70.41,9.33
Praia da Vitoria,PT,38.73,-27.07,1549141200,20,77,62.6,18.05
Kununurra,AU,-15.77,128.74,1549145820,90,88,77.0,15.82
Imola,IT,44.35,11.71,1549146000,75,100,39.2,10.29
Seoul,KR,37.57,126.98,1549144800,90,86,39.2,6.93
Cairns,AU,-16.92,145.77,1549144800,75,83,82.4,4.7
Southbridge,US,42.08,-72.03,1549144560,90,45,30.92,9.17
Areka,ET,7.07,37.71,1549146689,8,37,50.2,4.85
Kailua,US,21.39,-157.74,1549144620,75,84,78.08,13.87
Kaniama,CD,-7.57,24.18,1549146690,88,98,67.39,2.39
Dalbandin,PK,28.9,64.41,1549146691,12,94,50.11,4.85
Rapid Valley,US,44.06,-103.15,1549145700,1,39,55.94,16.26
Vilyuysk,RU,63.75,121.63,1549146693,68,52,-30.89,7.99
Luderitz,NA,-26.65,15.16,1549146693,48,93,58.98,8.88
Lichinga,MZ,-13.3,35.25,1549144800,75,93,66.2,6.93
Sharkan,RU,57.3,53.87,1549146694,68,87,11.95,4.29
Brae,GB,60.4,-1.35,1549144200,12,80,33.8,6.93
